Date,Open,High,Low,Close,Volume
2/21/17,24.780001,25.200001,24.6,25.030001,5801700
2/22/17,25.139999,25.26,24.540001,24.870001,4690000
2/23/17,24.6,24.639999,23.879999,23.969999,8066700
2/24/17,24.299999,25.110001,23.200001,24.700001,11850700
2/27/17,24.690001,25.34,24.559999,25.200001,5770600
2/28/17,25.049999,25.139999,24.43,24.82,6799400
3/1/17,24.940001,25.059999,23.969999,24.33,7022400
3/2/17,24.48,25.440001,24.299999,25.129999,7633500
3/3/17,25.15,25.309999,24.49,24.690001,5539700
3/6/17,24.66,24.76,24.059999,24.389999,3903500
3/7/17,24.309999,24.59,24.15,24.18,5170000
3/8/17,24.200001,24.389999,24.040001,24.23,6185400
3/9/17,24.120001,24.32,23.959999,24.129999,4028900
3/10/17,24.280001,24.459999,24.059999,24.27,3164700
3/13/17,24.27,24.389999,23.459999,23.540001,4982200
3/14/17,23.540001,23.73,23.219999,23.700001,3672000
3/15/17,23.83,23.950001,23.469999,23.870001,4262300
3/16/17,23.84,24.049999,23.67,23.93,2831600
3/17/17,24.040001,24.16,23.809999,24.1,5292700
3/20/17,24.110001,24.17,23.360001,23.459999,4613900
3/21/17,23.48,23.5,22.25,22.82,8748500
3/22/17,22.799999,23.09,22.440001,23.07,3797500
3/23/17,23.6,23.879999,23.25,23.299999,5329000
3/24/17,23.25,23.34,23.030001,23.27,3499200
3/27/17,23.02,23.610001,23.02,23.280001,3832100
3/28/17,23.290001,23.809999,23.110001,23.780001,3147300
3/29/17,23.92,24.860001,23.809999,24.719999,8733700
3/30/17,24.620001,24.91,24.24,24.450001,8093700
3/31/17,24.33,24.709999,24.27,24.290001,5914400
4/3/17,24.040001,24.09,23.559999,23.709999,5706200
4/4/17,23.629999,23.66,22.889999,23.190001,5835300
4/5/17,23.32,23.51,22.879999,22.9,4433000
4/6/17,23.17,24.280001,23.17,24.049999,8255600
4/7/17,23.99,24.42,23.940001,24.030001,5510300
4/10/17,24.17,24.709999,24.15,24.299999,3706100
4/11/17,24.33,24.5,23.950001,24.5,4455300
4/12/17,24.52,24.59,24.26,24.299999,2775100
4/13/17,24.27,24.389999,23.68,23.690001,5198200
4/17/17,24,24.08,23.639999,23.889999,5247700
4/18/17,23.84,24.049999,23.700001,23.92,3303200
4/19/17,24,24.58,23.9,24.219999,4467400
4/20/17,24.799999,25.440001,24.68,25.42,10134400
4/21/17,25.5,25.65,25.09,25.610001,5135700
4/24/17,25.9,26.16,25.6,25.870001,6928200
4/25/17,26.15,26.15,25.66,25.92,3661600
4/26/17,26.129999,26.43,26.049999,26.25,4197000
4/27/17,26.719999,26.719999,26.110001,26.35,3225300
4/28/17,26.299999,26.33,25.93,26.200001,4219500
5/1/17,26.26,26.32,25.700001,25.9,4362600
5/2/17,25.9,26.25,25.76,26.25,4346800
5/3/17,26.110001,26.32,25.85,26.110001,3636600
5/4/17,26.07,26.290001,25.690001,25.700001,3739800
5/5/17,25.889999,26.4,25.870001,26.33,3856000
5/8/17,26.48,26.48,26.08,26.32,4681300
5/9/17,26.530001,26.700001,26.33,26.41,2902500
5/10/17,26.370001,26.879999,26.23,26.73,4678500
5/11/17,26.82,26.82,25.52,25.76,6717100
5/12/17,25.68,25.719999,24.870001,25.07,5196000
5/15/17,25.26,25.469999,24.950001,25.110001,6537800
5/16/17,25.02,25.02,24.25,24.59,7146100
5/17/17,24.59,24.59,23.540001,23.549999,9365400
5/18/17,24.02,24.190001,23.08,23.190001,12964800
5/19/17,24,24.07,22.030001,22.280001,19770100
5/22/17,22.32,22.559999,22.01,22.24,8368500
5/23/17,22.24,22.530001,22.030001,22.32,8262600
5/24/17,22.299999,22.379999,21.98,22.190001,6702500
5/25/17,22.49,22.57,21.99,22.02,6870800
5/26/17,21.93,22.549999,21.860001,22.42,6113700
5/30/17,22.49,22.809999,22.43,22.540001,5528600
5/31/17,22.610001,22.65,22.17,22.5,7198100
6/1/17,22.540001,22.969999,22.34,22.790001,5937900
6/2/17,22.93,22.959999,22.41,22.559999,6066500
6/5/17,22.83,22.92,22.299999,22.440001,7537100
6/6/17,22.24,22.280001,21.9,22.09,8889400
6/7/17,22.18,22.379999,22.030001,22.129999,4952200
6/8/17,22.129999,22.530001,22.07,22.290001,5651700
6/9/17,22.34,22.93,22.190001,22.83,6316600
6/12/17,22.76,23.290001,22.74,23.129999,8918000
6/13/17,23.09,23.5,22.9,23.42,6050200
6/14/17,23.41,23.41,22.889999,23.25,4838200
6/15/17,23.07,23.35,22.799999,23.09,5714600
6/16/17,22.860001,22.950001,22.540001,22.889999,6454800
6/19/17,23.02,23.15,22.6,23.030001,4279100
6/20/17,23,23.07,22.07,22.129999,4678200
6/21/17,22.1,22.200001,21.780001,21.9,5796200
6/22/17,21.91,22.27,21.809999,22.02,4466800
6/23/17,22.07,22.16,21.790001,21.969999,6478900
