Date,Open,High,Low,Close,Volume
2017-12-18 16:00:00,70.14,70.74,69.95,70.54,6776982.0
2017-12-19 16:00:00,70.21,70.3626,69.38,69.7,14654994.0
2017-12-20 16:00:00,70.9,71.05,70.17,70.6,12888149.0
2017-12-21 16:00:00,71.59,72.17,70.88,71.0,9682733.0
2017-12-22 16:00:00,71.58,71.87,71.22,71.42,10979165.0
2017-12-26 16:00:00,69.86,71.39,69.63,70.94,8542802.0
2017-12-27 16:00:00,70.06,70.49,69.69,69.77,6345124.0
2017-12-28 16:00:00,69.82,70.32,69.51,70.12,7556877.0
2017-12-29 16:00:00,69.85,70.13,69.43,69.79,6613070.0
2018-01-02 16:00:00,73.13,73.35,70.55,70.77,11437264.0
2018-01-03 16:00:00,73.78,73.86,72.77,73.5,7401726.0
2018-01-04 16:00:00,74.57,75.215,74.01,74.1,8290882.0
2018-01-05 16:00:00,76.49,76.57,74.9101,75.08,6284834.0
2018-01-08 16:00:00,76.48,76.81,75.98,76.21,5288273.0
2018-01-09 16:00:00,76.59,77.23,75.835,77.02,4907416.0
2018-01-10 16:00:00,76.51,76.66,75.45,75.76,14777941.0
2018-01-11 16:00:00,76.14,76.78,76.04,76.54,9457918.0
2018-01-12 16:00:00,75.85,76.5905,75.68,76.45,4078360.0
2018-01-16 16:00:00,73.92,77.01,73.71,76.44,7014089.0
2018-01-17 16:00:00,74.14,74.6,72.86,74.41,4934217.0
2018-01-18 16:00:00,74.23,74.71,73.7213,73.86,5404561.0
2018-01-19 16:00:00,74.36,74.67,73.71,74.39,7203338.0
2018-01-22 16:00:00,74.16,74.6,73.58,74.6,5015449.0
2018-01-23 16:00:00,76.57,76.76,74.0,74.66,13687701.0
2018-01-24 16:00:00,77.81,78.88,76.78,77.13,6296999.0
2018-01-25 16:00:00,78.58,78.99,77.32,78.45,7840688.0
2018-01-26 16:00:00,80.3,80.45,79.0,79.21,17423391.0
2018-01-29 16:00:00,79.34,80.43,78.97,80.0,9719566.0
2018-01-30 16:00:00,78.27,79.27,76.7606,77.58,7326518.0
2018-01-31 16:00:00,79.88,80.56,79.0,79.0,6639164.0
2018-02-01 16:00:00,76.01,78.36,75.6911,76.48,8098044.0
2018-02-02 16:00:00,74.4,76.7,74.17,76.45,8326954.0
2018-02-05 16:00:00,72.51,75.38,71.59,72.9,10552374.0
2018-02-06 16:00:00,73.53,73.67,69.59,70.02,7436486.0
2018-02-07 16:00:00,72.16,74.19,72.1,73.16,3373111.0
2018-02-08 16:00:00,69.15,72.78,69.1,72.55,5742025.0
2018-02-09 16:00:00,70.48,70.77,67.86,70.57,6129819.0
2018-02-12 16:00:00,71.1,71.78,70.27,71.19,2654021.0
2018-02-13 16:00:00,71.31,72.44,70.55,70.72,5535298.0
2018-02-14 16:00:00,73.66,73.73,70.88,70.88,8043466.0
2018-02-15 16:00:00,74.4,74.7,73.23,74.25,4274181.0
2018-02-16 16:00:00,73.51,74.98,73.3,74.46,6982213.0
2018-02-20 16:00:00,74.59,75.26,72.78,72.83,5574265.0
2018-02-21 16:00:00,75.11,76.71,75.04,75.26,7147715.0
2018-02-22 16:00:00,75.52,75.99,75.06,75.83,9369245.0
2018-02-23 16:00:00,77.76,77.78,76.1,76.5,16053072.0
2018-02-26 16:00:00,78.08,78.68,76.715,78.43,18350174.0
2018-02-27 16:00:00,76.13,78.0,75.7717,77.86,12425652.0
2018-02-28 16:00:00,74.85,76.08,74.51,75.91,8566538.0
