Date,Ticker,Open,High,Low,Close,Volume
2018-01-18 16:00:00,NTDOY,52.685,52.8,52.35,52.39,699897.0
2018-01-19 16:00:00,NTDOY,54.7,54.75,54.33,54.6,652394.0
2018-01-22 16:00:00,NTDOY,54.83,55.01,54.4,54.93,372645.0
2018-01-23 16:00:00,NTDOY,55.9,56.07,55.61,56.0,693523.0
2018-01-24 16:00:00,NTDOY,55.065,55.61,54.39,55.26,630138.0
2018-01-25 16:00:00,NTDOY,54.82,55.26,54.75,55.0,529554.0
2018-01-26 16:00:00,NTDOY,56.01,56.01,55.04,55.29,377776.0
2018-01-29 16:00:00,NTDOY,54.725,55.09,54.49,55.0,236502.0
2018-01-30 16:00:00,NTDOY,53.38,54.0,53.03,53.94,499901.0
2018-01-31 16:00:00,NTDOY,57.08,58.45,56.85,57.84,1973133.0
2018-02-01 16:00:00,NTDOY,55.15,55.24,54.3,54.8,745551.0
2018-02-02 16:00:00,NTDOY,52.52,53.52,52.5,53.23,527235.0
2018-02-05 16:00:00,NTDOY,51.49,53.37,51.49,52.66,546415.0
2018-02-06 16:00:00,NTDOY,52.45,52.54,50.35,50.58,790665.0
2018-02-07 16:00:00,NTDOY,51.65,52.44,51.58,52.35,470967.0
2018-02-08 16:00:00,NTDOY,49.3,50.85,49.1,50.85,709090.0
2018-02-09 16:00:00,NTDOY,50.24,50.25,48.25,49.8,526910.0
2018-02-12 16:00:00,NTDOY,51.245,51.55,50.4,50.445,432868.0
2018-02-13 16:00:00,NTDOY,51.785,51.88,51.11,51.32,335057.0
2018-02-14 16:00:00,NTDOY,52.82,52.82,51.04,51.29,313796.0
2018-02-15 16:00:00,NTDOY,54.05,54.2,53.55,54.0,323514.0
2018-02-16 16:00:00,NTDOY,54.15,54.32,53.92,54.125,228159.0
2018-02-20 16:00:00,NTDOY,54.25,54.97,54.19,54.31,452141.0
2018-02-21 16:00:00,NTDOY,55.31,55.8,55.27,55.59,513412.0
2018-02-22 16:00:00,NTDOY,55.2,55.55,54.79,55.48,244464.0
2018-02-23 16:00:00,NTDOY,56.91,56.95,56.1,56.63,345589.0
2018-02-26 16:00:00,NTDOY,57.4,57.4,56.92,57.2,195730.0
2018-02-27 16:00:00,NTDOY,56.86,57.71,56.83,57.45,277463.0
2018-02-28 16:00:00,NTDOY,57.05,57.55,56.9,57.22,159044.0
2018-03-01 16:00:00,NTDOY,55.3,56.46,55.0,55.74,302660.0
