Date,Open,High,Low,Close,Volume
21-02-17,45.220001,45.610001,45.099998,45.5,8116000
22-02-17,45.470001,46.349998,45.450001,45.98,7730200
23-02-17,46.040001,46.139999,45.290001,45.41,7812100
24-02-17,45.139999,45.549999,44.950001,45.549999,3714800
27-02-17,45.450001,45.740002,45.240002,45.709999,4006700
28-02-17,45.57,45.75,45.25,45.66,7202000
01-03-17,45.889999,46.41,45.889999,46.240002,7258500
02-03-17,46.02,46.130001,45.619999,45.939999,7017100
03-03-17,45.880001,46,45.599998,45.91,6758300
06-03-17,45.610001,45.689999,45.389999,45.639999,6694900
07-03-17,45.5,45.919998,45.490002,45.73,5116800
08-03-17,45.849998,46.189999,45.73,45.98,3331700
09-03-17,45.869999,46.119999,45.68,45.939999,3767600
10-03-17,46.200001,46.200001,45.75,45.98,3823900
13-03-17,46.099998,47,46.099998,46.57,4702300
14-03-17,46.41,46.759998,46.189999,46.369999,3799800
15-03-17,46.549999,46.549999,45.900002,46.290001,6279300
16-03-17,46.599998,46.619999,46.299999,46.610001,3627100
17-03-17,46.73,46.900002,46.5,46.59,6192400
20-03-17,46.619999,47.16,46.52,46.77,5823000
21-03-17,47,47.189999,45.68,45.77,6469400
22-03-17,45.610001,46.139999,45.599998,46.060001,6773400
23-03-17,46.130001,46.779999,46.09,46.599998,8297800
24-03-17,46.650002,46.869999,46.139999,46.400002,5607700
27-03-17,45.919998,46.48,45.740002,46.400002,6016600
28-03-17,46.330002,46.759998,46.240002,46.57,4630800
29-03-17,46.52,46.84,46.299999,46.779999,4403400
30-03-17,46.799999,47.049999,46.599998,46.619999,3448600
31-03-17,46.52,46.700001,46.27,46.41,7814100
03-04-17,46.5,46.849998,46.16,46.43,7675400
04-04-17,46.299999,46.470001,46.119999,46.23,4758400
05-04-17,46.41,46.919998,46.240002,46.380001,4840300
06-04-17,46.380001,46.43,46.040001,46.279999,4124600
07-04-17,46.23,46.529999,45.959999,46.439999,4629800
10-04-17,46.490002,47.419998,46.400002,47.209999,7818000
11-04-17,47.029999,47.209999,46.419998,46.790001,5593900
12-04-17,46.799999,47.16,46.669998,46.830002,5127300
13-04-17,46.849998,47.110001,46.610001,46.900002,3762100
17-04-17,47.02,47.419998,46.919998,47.389999,3857100
18-04-17,47.25,47.75,47.139999,47.560001,9341900
19-04-17,47.599998,47.880001,46.93,47,12179500
20-04-17,47.25,47.84,47.07,47.669998,10925100
21-04-17,47.73,47.77,47.369999,47.52,7055000
24-04-17,47.889999,48.200001,47.75,48.150002,9860400
25-04-17,48.290001,48.459999,48.16,48.400002,10288200
26-04-17,48.400002,48.470001,48.169998,48.259998,4053100
27-04-17,48.080002,48.470001,48.02,48.360001,10635400
28-04-17,48.450001,48.5,48.16,48.209999,4925400
01-05-17,48.220001,48.779999,48.119999,48.610001,6386500
02-05-17,48.720001,49.299999,48.720001,49.09,6106300
03-05-17,49.189999,49.189999,48.169998,48.540001,4702400
04-05-17,48.630001,48.68,48.16,48.450001,6208900
05-05-17,48.450001,48.66,48.27,48.490002,7835500
08-05-17,48.709999,48.959999,48.509998,48.849998,10059600
09-05-17,49.139999,49.669998,48.939999,49.490002,10279100
10-05-17,49.400002,49.599998,49.139999,49.400002,8360400
11-05-17,49.450001,49.709999,49.139999,49.689999,6142900
12-05-17,49.75,49.75,49.439999,49.650002,6185800
15-05-17,49.709999,49.939999,49.48,49.860001,9129300
16-05-17,50.049999,51.119999,50.029999,50.959999,19423600
17-05-17,50.700001,50.700001,49.450001,49.650002,20954100
18-05-17,48.68,50.029999,47.740002,49.630001,13737500
19-05-17,50.029999,51.23,50.009998,50.18,11182000
22-05-17,50.509998,51.080002,50.220001,50.650002,9696600
23-05-17,50.450001,50.900002,50.259998,50.310001,7342000
24-05-17,50.18,50.59,49.900002,50.32,12170900
25-05-17,50.48,50.75,50.049999,50.599998,11961100
26-05-17,50.5,50.740002,50.32,50.669998,6049500
30-05-17,50.669998,50.939999,50.5,50.560001,8400200
31-05-17,50.599998,50.650002,49.970001,50.32,8750800
01-06-17,50.490002,50.700001,50.07,50.650002,7776700
02-06-17,50.529999,50.75,50.310001,50.599998,9857200
05-06-17,50.52,50.880001,50.400002,50.599998,16600800
06-06-17,50.419998,50.759998,50.299999,50.5,27315900
07-06-17,50.470001,50.720001,50.279999,50.549999,25993500
08-06-17,55.349998,55.939999,53.490002,55.709999,75367300
09-06-17,56.16,57.389999,53.66,54.02,74186700
12-06-17,53.790001,54.549999,52.599998,53.119999,57753300
13-06-17,53.650002,54.080002,52,52,157375700
14-06-17,52.419998,54.259998,52.16,52.630001,72069000
15-06-17,52.169998,52.759998,51.650002,52.580002,72688400
16-06-17,52.790001,53.299999,51.900002,52.580002,269377100
19-06-17,54,55.029999,53.799999,54.459999,39430300
20-06-17,54.540001,54.900002,53.790001,53.810001,47512900
21-06-17,53.939999,55.169998,53.889999,55.09,28731700
22-06-17,54.75,55.450001,54.419998,54.560001,17258900
23-06-17,54.490002,54.990002,54.450001,54.73,13065600
26-06-17,55.380001,55.599998,53.970001,54.310001,22718100
27-06-17,54.439999,54.73,53.529999,53.639999,17023600
28-06-17,54.09,55.099998,53.77,54.950001,14675900
29-06-17,54.490002,54.919998,53.130001,54.299999,11963000
30-06-17,54.330002,54.73,54.080002,54.48,8826100
03-07-17,55.080002,55.25,54.049999,54.450001,4559100
05-07-17,50.400002,55.84,50.400002,55.619999,8817600
06-07-17,55.049999,55.200001,54.41,54.529999,5978200
07-07-17,54.650002,54.91,54.310001,54.549999,2776100
10-07-17,54.279999,54.98,54.27,54.799999,4164400
11-07-17,54.759998,55.349998,54.59,55.25,10200800
12-07-17,55.66,56.57,55.66,56.34,5836100
13-07-17,56.439999,56.68,56.060001,56.459999,3806300
14-07-17,56.540001,57.41,56.529999,57.23,4420300
17-07-17,57.68,57.880001,57.130001,57.509998,6905800
18-07-17,57.130001,58.75,56.73,58.48,7126600
19-07-17,59.27,59.330002,58.189999,58.360001,8682700
20-07-17,58.459999,58.580002,58.02,58.450001,8757000
21-07-17,58.189999,58.400002,57.759998,58.16,8832400
24-07-17,58.279999,58.5,58.02,58.150002,3671100
25-07-17,57.98,58.369999,57.869999,58.07,3264400
26-07-17,57.950001,59.029999,57.93,58.900002,5443700
27-07-17,59.610001,60.220001,57.560001,58.43,8394400
28-07-17,58.110001,59.639999,57.98,59.200001,5871000
31-07-17,59.700001,59.889999,58.07,58.400002,6738100
01-08-17,58.599998,58.799999,58.110001,58.5,4164500
02-08-17,58.950001,59.25,56.900002,57.66,5845800
03-08-17,57.869999,58.330002,57.130001,58.150002,4725800
04-08-17,58.43,58.57,58.009998,58.509998,7330400
07-08-17,58.849998,60.16,58.759998,60.029999,5540200
08-08-17,59.77,60.439999,59.619999,59.860001,4207200
09-08-17,59.23,59.950001,59.07,59.77,3070800
10-08-17,59.169998,59.509998,57.869999,58.029999,4420300
11-08-17,57.779999,58.23,56.84,57.919998,5552500
14-08-17,58.700001,59.02,58.5,58.869999,7401600
15-08-17,59.279999,60.139999,58.790001,59.990002,7863500
16-08-17,60.43,60.849998,60.209999,60.650002,7640600
17-08-17,63.049999,63.459999,62.09,62.200001,11943600
18-08-17,62.360001,63.700001,62.060001,63.07,13008700
21-08-17,63.150002,64,62.900002,63.599998,4594100
22-08-17,63.759998,65.519997,63.759998,65.419998,5627200
23-08-17,65.010002,66,64.639999,65.82,4130900
24-08-17,66.059998,66.199997,65.339996,65.5,4055800
25-08-17,65.410004,65.559998,64.260002,64.510002,5940800
28-08-17,64.43,64.43,63.130001,63.529999,5567400
29-08-17,62.299999,63.720001,62.099998,63.169998,3590100
30-08-17,63.650002,64.580002,63.630001,64.160004,5288300
31-08-17,64.5,64.760002,63.84,64.080002,3676500
01-09-17,64.169998,64.379997,63.860001,64.050003,2191300
05-09-17,63.529999,64.300003,63.279999,63.860001,3277300
06-09-17,63.709999,64.279999,62.900002,63.32,4876000
07-09-17,63.560001,64.18,63.169998,64.019997,3944200
08-09-17,63.720001,64.339996,63.5,63.580002,3298300
11-09-17,64.690002,65.260002,64.400002,65.139999,5464300
12-09-17,65.300003,65.629997,65.059998,65.360001,6672100
13-09-17,65.400002,66.709999,65.400002,66.519997,10760800
14-09-17,66.260002,66.910004,65.720001,66.080002,11463600
15-09-17,66.389999,66.660004,66.019997,66.410004,8589600
18-09-17,67,67.279999,66.559998,67.110001,5323800
19-09-17,67.300003,67.610001,67.07,67.43,4478700
20-09-17,67.370003,67.589996,66.400002,66.919998,11434000
21-09-17,67,67.220001,66.059998,66.589996,4123900
22-09-17,66.449997,67.389999,66.230003,67.339996,8523300
25-09-17,67,67,64.209999,64.959999,18001300
26-09-17,65.080002,65.82,64.239998,64.449997,6654400
27-09-17,65.129997,66.269997,65.010002,65.800003,13978900
28-09-17,65.900002,66.190002,65.540001,65.580002,7214800
29-09-17,65.639999,66.610001,65.639999,66.239998,5452400
02-10-17,66.599998,66.980003,66.290001,66.510002,20424000
03-10-17,67.190002,67.93,66.959999,67.809998,5709600
04-10-17,67.790001,68.220001,67.480003,67.660004,4289700
05-10-17,67.75,68.099998,66.959999,67.720001,3451700
06-10-17,67.489998,68.080002,67.32,67.849998,1939100
09-10-17,67.849998,69.059998,67.75,68.739998,2763900
10-10-17,68.510002,69.510002,68.510002,68.93,5689000
11-10-17,68.75,69.379997,68.709999,69.220001,4251800
12-10-17,69,69.230003,67.800003,67.910004,4111000
13-10-17,68.169998,68.18,67.379997,67.519997,3380900
16-10-17,67.910004,68.129997,67.360001,68.040001,4523200
17-10-17,68,68.099998,66.629997,66.779999,4264400
18-10-17,67.199997,68.040001,66.980003,67.790001,5361800
19-10-17,66.970001,67.540001,66.650002,67.449997,4271300
20-10-17,67.650002,68.360001,67.449997,67.510002,7149400
23-10-17,67.629997,68,66.400002,66.510002,3959100
24-10-17,66.690002,67.199997,66.400002,66.610001,3667000
25-10-17,66.660004,67.040001,65.190002,65.400002,4550600
26-10-17,65.5,66.010002,65.07,65.57,4967300
27-10-17,66.599998,67.730003,65.870003,67.519997,7607800
30-10-17,68.040001,68.959999,67.940002,68.860001,7764600
31-10-17,69.5,70.269997,68.959999,70.120003,10680500
01-11-17,70.849998,71.389999,69.839996,70.589996,9883600
02-11-17,72.059998,72.470001,69.839996,70.510002,10054600
03-11-17,71.010002,71.400002,69.839996,70.230003,6321500
06-11-17,70.269997,71.959999,70.269997,71.709999,7129300
07-11-17,72.199997,72.470001,71.620003,72.220001,9164800
08-11-17,72,72.199997,71.089996,71.160004,7363100
09-11-17,70.459999,70.68,68.769997,70.190002,10054900
10-11-17,70.599998,70.75,69.940002,70.550003,4439900
