Date,Open,High,Low,Close,Volume
2/21/17,13.41,14.1,13.4,14,66357100
2/22/17,14.3,14.5,14.04,14.28,71505000
2/23/17,14.2,14.45,13.82,14.32,80317600
2/24/17,14,14.32,13.86,14.12,46288600
2/27/17,14.27,15.35,14.27,15.2,95422900
2/28/17,15.45,15.55,14.35,14.46,141783000
3/1/17,15.08,15.09,14.52,14.96,73450400
3/2/17,14.59,14.78,13.87,13.9,104330900
3/3/17,13.55,13.58,12.79,13.03,163395900
3/6/17,13,13.34,12.38,13.04,117192600
3/7/17,13.07,13.37,12.79,13.05,76666300
3/8/17,13.25,13.55,13.1,13.22,71294700
3/9/17,13.45,13.45,13.11,13.33,45244200
3/10/17,13.5,13.93,13.45,13.91,65142200
3/13/17,14.48,14.68,14.18,14.28,73078100
3/14/17,14,14.15,13.64,14.1,52554500
3/15/17,14.03,14.06,13.62,13.98,55179600
3/16/17,13.79,13.88,13.65,13.65,44494800
3/17/17,13.62,13.74,13.36,13.49,224892300
3/20/17,13.68,14.5,13.54,14.4,91565600
3/21/17,14.4,14.49,13.78,13.82,72552700
3/22/17,13.7,14.15,13.55,14.1,61239500
3/23/17,13.96,14.12,13.77,13.79,44549900
3/24/17,14.16,14.18,13.54,13.7,50099500
3/27/17,13.35,13.78,13.21,13.7,42686800
3/28/17,13.75,13.86,13.55,13.69,37420200
3/29/17,13.74,13.87,13.63,13.71,37863500
3/30/17,13.73,14.05,13.65,14.05,44132800
3/31/17,14.1,14.75,14.01,14.55,84566200
4/3/17,14.6,14.74,14.3,14.64,48423700
4/4/17,14.31,14.67,14.03,14.16,58413000
4/5/17,14.28,14.64,14.1,14.17,58816700
4/6/17,13.42,13.46,12.83,13.27,139500100
4/7/17,13.33,13.68,13.22,13.52,70441000
4/10/17,13.52,13.59,13.04,13.1,47178000
4/11/17,13.02,13.29,12.71,13.1,59916600
4/12/17,12.94,13.1,12.74,12.76,37385400
4/13/17,12.51,12.72,12.22,12.31,53442600
4/17/17,12.53,12.8,12.37,12.79,38188200
4/18/17,12.63,12.97,12.58,12.95,37172000
4/19/17,13.09,13.21,12.8,12.84,36491100
4/20/17,12.98,13.15,12.88,13.11,41976100
4/21/17,13.08,13.12,12.9,13,25689600
4/24/17,13.23,13.23,13.05,13.13,36120300
4/25/17,13.24,13.53,13.16,13.49,35881000
4/26/17,13.42,13.53,13.22,13.41,36644500
4/27/17,13.43,13.7,13.37,13.62,31327600
4/28/17,13.73,13.76,13.16,13.3,50144600
5/1/17,13.43,13.63,13.25,13.62,68036300
5/2/17,11.73,11.76,10.3,10.32,268336500
5/3/17,10.29,10.68,9.85,10.39,140899400
5/4/17,10.55,10.55,9.94,10.1,77031400
5/5/17,10.13,10.26,9.94,10.19,51759000
5/8/17,10.22,10.22,10,10.04,35101100
5/9/17,10.04,10.4,10.04,10.18,51017300
5/10/17,10.46,10.85,10.45,10.79,65995900
5/11/17,10.74,11.26,10.51,11.07,72946500
5/12/17,11.2,11.4,11.08,11.26,56072600
5/15/17,11.41,11.6,11.3,11.42,52565000
5/16/17,11.66,12.77,11.63,12.75,164186900
5/17/17,11.81,12.29,11.16,11.2,160109500
5/18/17,10.99,11.49,10.81,11.28,86900100
5/19/17,11.47,11.62,11.35,11.41,50319700
5/22/17,11.49,11.55,10.77,11.04,78696400
5/23/17,10.97,11.06,10.62,10.89,49799600
5/24/17,11.05,11.06,10.71,10.89,42903900
5/25/17,11.01,11.01,10.8,10.98,33584300
5/26/17,10.85,11.02,10.74,11,31907600
5/30/17,10.95,11.27,10.9,11.12,35339000
5/31/17,11.29,11.49,11.1,11.19,42929000
6/1/17,11.25,11.29,10.81,10.93,48002000
6/2/17,10.93,10.96,10.57,10.9,43056200
6/5/17,10.84,11.34,10.8,11.24,66207300
6/6/17,11.27,12.24,11.24,12.03,114998600
6/7/17,12.42,12.96,12.23,12.38,151005900
6/8/17,12.81,12.91,12.4,12.9,88827300
6/9/17,13.1,13.4,11.63,12.28,167454400
6/12/17,11.75,12.35,11.27,12.09,125781800
6/13/17,12.33,12.48,11.67,11.96,87302300
6/14/17,11.91,12.05,11.65,11.77,51909400
6/15/17,11.34,11.58,11.21,11.5,61666000
6/16/17,11.66,11.83,11.28,11.44,59779500
6/19/17,11.63,12.12,11.62,11.93,61803600
6/20/17,12.19,12.93,12.18,12.64,118001500
6/21/17,13.36,14.01,13.13,13.98,188796100
6/22/17,14.1,14.5,13.56,14.38,149594200
6/23/17,14.15,14.67,13.9,14.17,200777300
6/26/17,14.39,14.49,13.84,14.08,101012500
6/27/17,13.76,14.04,13.37,13.4,89319700
6/28/17,13.65,13.7,13.09,13.23,85266900
6/29/17,13.06,13.15,12.45,12.6,87634400
6/30/17,12.57,12.83,12.36,12.48,59267400
7/3/17,12.57,12.73,12.13,12.15,39929100
7/5/17,12.36,13.21,12.32,13.19,99450200
7/6/17,12.94,13.32,12.67,13.02,88927800
7/7/17,13.27,13.75,13.18,13.36,88392100
7/10/17,13.61,13.88,13.27,13.81,78320200
7/11/17,13.77,14.1,13.62,13.89,71102300
7/12/17,14.17,14.39,13.96,14.29,78508400
7/13/17,14.33,14.49,13.43,13.53,111656900
7/14/17,13.46,13.93,13.32,13.92,82084600
7/17/17,14.03,14.12,13.51,13.8,71690800
7/18/17,13.29,13.53,13.15,13.48,78366500
7/19/17,13.62,13.74,13.41,13.55,51957800
7/20/17,13.61,13.89,13.45,13.8,47707500
7/21/17,13.7,14.05,13.62,13.88,51045700
7/24/17,14,14.44,13.97,14.16,71014900
7/25/17,14.29,14.32,13.87,14.11,98047400
7/26/17,15.13,15.65,14.4,14.76,236083000
7/27/17,14.99,15.04,13.7,14.12,130303700
7/28/17,13.85,14.1,13.68,13.95,66763800
7/31/17,14.09,14.22,13.47,13.61,69108700
8/1/17,13.72,13.86,13.45,13.71,49149900
8/2/17,13.81,13.93,13.12,13.37,67502200
8/3/17,13.42,13.52,13.08,13.24,52557400
8/4/17,13.2,13.36,13.02,13.12,64254000
8/7/17,13.33,13.57,13.27,13.43,57486800
8/8/17,13.48,13.55,13.08,13.11,47338000
8/9/17,12.76,12.89,12.54,12.83,58861500
8/10/17,12.7,12.92,12.11,12.12,83113400
8/11/17,12.04,12.39,11.88,12.23,63558800
8/14/17,12.58,12.85,12.58,12.76,64236500
8/15/17,13.01,13.14,12.75,13.02,57990300
8/16/17,13.17,13.19,12.52,12.63,64639400
8/17/17,12.46,12.65,12.32,12.34,47371000
8/18/17,12.43,12.56,12.25,12.37,37521700
8/21/17,12.42,12.42,11.86,12.05,58888500
8/22/17,12.2,12.33,12.1,12.17,39033200
8/23/17,12,12.54,11.95,12.48,44345400
8/24/17,12.69,12.71,12.39,12.5,37269700
8/25/17,12.51,12.57,12.25,12.43,29732000
8/28/17,12.53,12.55,12.16,12.23,35969600
8/29/17,12,12.18,11.93,12.15,33618100
8/30/17,12.19,12.68,12.16,12.67,43933000
8/31/17,12.82,13.16,12.79,13,51822100
9/1/17,13.12,13.49,13.04,13.19,53158600
9/5/17,12.88,13.18,12.65,12.92,51445500
9/6/17,13.02,13.08,12.75,12.86,34182400
9/7/17,12.84,12.94,12.6,12.63,35816900
9/8/17,12.57,12.61,12.04,12.25,60886200
9/11/17,12.46,12.74,12.4,12.55,43346100
9/12/17,12.66,12.68,12.21,12.3,54413100
9/13/17,12.22,12.36,12.12,12.22,37210700
9/14/17,12.15,12.46,12.11,12.26,37220200
9/15/17,12.33,12.66,12.31,12.52,50337400
9/18/17,12.77,13.3,12.74,13.08,83517400
9/19/17,13.25,13.29,12.88,13.12,65455200
9/20/17,13.07,13.8,12.8,13.74,102682400
9/21/17,14,14.24,13.32,13.41,166821900
9/22/17,13.2,13.4,13.12,13.3,50547000
9/25/17,13.25,13.28,12.49,12.61,84172200
9/26/17,12.85,12.93,12.43,12.45,68302000
9/27/17,12.65,12.87,12.5,12.74,59947200
9/28/17,12.76,12.84,12.55,12.74,35812300
9/29/17,12.77,12.82,12.6,12.75,33926900
10/2/17,12.8,12.85,12.62,12.71,34461100
10/3/17,12.73,13.48,12.7,13.42,85174000
10/4/17,13.31,13.5,13.15,13.31,42303200
10/5/17,13.38,13.46,13.21,13.34,34758600
10/6/17,13.22,13.39,13.18,13.23,28258700
10/9/17,13.26,13.83,13.26,13.47,54032500
10/10/17,13.72,13.79,13.44,13.7,43304000
10/11/17,13.62,13.96,13.61,13.88,38746600
10/12/17,13.85,14.37,13.81,14.2,69874100
10/13/17,14.32,14.41,14.12,14.22,37515800
10/16/17,14.25,14.35,14.12,14.26,34136800
10/17/17,14.24,14.35,14.14,14.16,28995600
10/18/17,14.2,14.28,13.76,14.07,39020300
10/19/17,13.85,14.04,13.69,13.95,33795700
10/20/17,14.03,14.09,13.8,13.81,32538900
10/23/17,13.94,14.19,13.9,14.1,49838000
10/24/17,14.2,14.36,14.15,14.25,84891600
10/25/17,12.95,13.13,12.29,12.33,166762100
10/26/17,12.45,12.46,12,12.01,87625400
10/27/17,12.17,12.19,11.35,11.84,115650400
10/30/17,11.26,11.42,10.65,10.89,137785100
10/31/17,10.76,11.31,10.69,10.99,78600000
11/1/17,11.25,11.29,10.72,10.8,66875500
11/2/17,10.87,10.99,10.66,10.85,47942500
11/3/17,10.95,11.13,10.82,11.12,44264300
11/6/17,12.04,12.09,11.64,11.93,96349800
11/7/17,11.94,12.27,11.92,12.05,67900200
11/8/17,11.94,11.95,11.51,11.71,59065000
11/9/17,11.25,11.35,11.03,11.12,76821200
11/10/17,11.22,11.43,11.12,11.26,50209900
11/13/17,11.18,11.2,10.92,11.09,54068300
11/14/17,11.03,11.26,11,11.12,37245000
11/15/17,11.01,11.13,10.77,11.07,33524700
11/16/17,11.13,11.32,11.13,11.25,31800400
11/17/17,11.3,11.75,11.28,11.38,56775600
11/20/17,11.47,11.51,11.19,11.34,35960200
11/21/17,11.42,11.49,11.24,11.4,31881700
11/22/17,11.41,11.49,11.3,11.37,23816500
11/24/17,11.38,11.42,11.3,11.38,11035800
11/27/17,11.34,11.74,11.34,11.55,41798300
11/28/17,11.45,11.54,11,11.17,65325700
11/29/17,11.08,11.17,10.73,10.83,63333800
11/30/17,10.87,11.03,10.76,10.89,43205000
12/1/17,10.81,10.97,10.53,10.73,42128800
12/4/17,10.85,10.86,9.82,10.03,97328300
12/5/17,9.89,10.34,9.7,9.91,67304100
12/6/17,9.9,10.05,9.71,10,38952200
12/7/17,10.07,10.19,9.95,10.04,32665600
12/8/17,10.15,10.2,9.92,9.94,34897000
12/11/17,9.97,10.16,9.96,10.16,29956400
12/12/17,10.13,10.14,9.88,9.9,36211000
12/13/17,9.97,10.21,9.95,10.11,41494800
12/14/17,10.1,10.17,9.96,10.13,29006800
12/15/17,10.13,10.32,10.02,10.29,45462300
12/18/17,10.6,11,10.51,10.98,63797700
12/19/17,11,11.19,10.87,10.95,43852900
12/20/17,11.1,11.18,10.8,10.98,31420300
12/21/17,10.98,11.08,10.87,10.89,21884300
12/22/17,10.75,10.77,10.2,10.54,50744500
12/26/17,10.38,10.58,10.34,10.46,20437900
12/27/17,10.45,10.74,10.4,10.53,22921800
12/28/17,10.57,10.64,10.43,10.55,18609400
12/29/17,10.57,10.58,10.27,10.28,26678900
1/2/18,10.42,11.02,10.34,10.98,44146300
1/3/18,11.61,12.14,11.36,11.55,154066700
1/4/18,12.1,12.43,11.97,12.12,109503000
1/5/18,12.19,12.22,11.66,11.88,63808900
1/8/18,12.01,12.3,11.85,12.28,63346000
1/9/18,12,12.02,11.71,11.82,62560900
1/10/18,11.63,12.15,11.56,11.96,52561200
1/11/18,12.07,12.19,11.9,12.14,38354900
1/12/18,11.82,12.07,11.8,12.02,47149300
1/16/18,12.05,12.2,11.8,11.91,42686600
1/17/18,11.9,12.19,11.82,12.18,39020800
1/18/18,12.18,12.68,12.15,12.47,62086200
1/19/18,12.56,12.88,12.54,12.59,46800700
1/22/18,12.61,12.74,12.37,12.65,34758600
1/23/18,12.82,13,12.76,12.94,46417200
1/24/18,13.02,13.05,12.6,12.71,41956400
1/25/18,12.78,12.94,12.32,12.41,42966600
1/26/18,12.7,12.95,12.62,12.95,44239000
1/29/18,13.13,13.47,13.05,13.32,66645400
1/30/18,13.12,13.27,12.69,12.87,91236400
1/31/18,13.24,13.85,13.15,13.74,140977800
2/1/18,13.62,13.84,13.21,13.25,67543300
2/2/18,13.05,13.06,12.43,12.45,79432600
2/5/18,12.05,12.18,10.93,11.57,116568900
2/6/18,11.04,11.74,11,11.65,87123200
2/7/18,11.7,11.9,11.53,11.6,55758400
2/8/18,11.72,11.85,11.21,11.22,56471800
2/9/18,11.54,11.57,10.63,11.31,85458200
2/12/18,11.47,11.8,11.43,11.68,63160900
2/13/18,11.6,11.82,11.53,11.78,33661400
2/14/18,11.72,12.31,11.63,12.2,51756800
2/15/18,12.4,12.63,12.07,12.19,59593800
2/16/18,12.11,12.23,11.82,11.82,47332300
2/20/18,11.72,12.19,11.71,12.02,46772000
