Date,Open,High,Low,Close,Volume
21-02-17,20.27,20.27,19.719999,20.02,2928600
22-02-17,19.889999,20.26,19.879999,19.969999,1784000
23-02-17,20.129999,20.379999,19.9,20.09,3092000
24-02-17,19.85,20,19.34,19.969999,4226100
27-02-17,20,20.049999,19.59,20,4015700
28-02-17,20.299999,22.870001,20.059999,22.719999,10119700
01-03-17,22.799999,24.280001,22.110001,22.190001,6595400
02-03-17,22.25,23.129999,21.799999,22.68,2650800
03-03-17,22.799999,23.6,22.700001,23.27,2219300
06-03-17,23.16,23.16,21.18,21.18,3897900
07-03-17,21.34,21.645,20.889999,21.08,2446000
08-03-17,21.17,21.275,20.709999,20.959999,1865500
09-03-17,21.08,21.9,20.968,21.280001,1981100
10-03-17,21.42,22.17,21.389999,21.91,1558300
13-03-17,21.940001,22.400999,21.440001,21.450001,1581300
14-03-17,21.309999,21.370001,20.83,21.209999,1444400
15-03-17,21.299999,21.915001,21.148001,21.83,1727400
16-03-17,21.940001,22.91,21.940001,22.860001,2124600
17-03-17,22.77,23.110001,21.35,21.690001,4768600
20-03-17,21.84,22.02,21.01,21.26,1680400
21-03-17,21.33,21.33,18.52,19.4,8623300
22-03-17,19.27,19.41,18.4,18.559999,3904500
23-03-17,18.57,18.58,17.68,17.809999,5488900
24-03-17,17.99,18.129999,16.870001,17.450001,4325200
27-03-17,17.059999,17.559999,16.83,17.25,5037000
28-03-17,17.35,17.639999,17.163,17.35,2857400
29-03-17,17.209999,17.84,17.01,17.690001,3190200
30-03-17,17.67,17.809999,17.16,17.549999,2734100
31-03-17,17.559999,17.99,17.43,17.540001,2924400
03-04-17,17.540001,17.690001,15.93,15.96,6228900
04-04-17,16,16.040001,14.9,15.6,7352800
05-04-17,15.74,16.038,15.39,15.51,4237700
06-04-17,15.52,15.73,15.13,15.69,2418000
07-04-17,15.68,16.17,15.46,15.48,3583100
10-04-17,15.45,16.23,15.326,16,4512500
11-04-17,15.93,16.450001,15.75,16.08,5377700
12-04-17,15.97,16.01,15.23,15.77,3069100
13-04-17,15.65,15.88,15.601,15.73,2452000
17-04-17,15.67,16.030001,15.67,15.97,1652800
18-04-17,15.85,16,15.56,15.9,1430400
19-04-17,15.97,16.105,15.71,15.73,2647000
20-04-17,15.77,16,15.54,15.85,2381900
21-04-17,15.88,16.02,15.62,15.64,3554000
24-04-17,16,16.309999,15.83,16.15,3156200
25-04-17,16.17,16.92,16.139999,16.77,3158500
26-04-17,16.700001,17.49,16.66,17.360001,2518700
27-04-17,17.360001,17.809999,17.209999,17.360001,2250700
28-04-17,17.360001,17.563,16.17,16.49,3393700
01-05-17,16.530001,16.799999,16.219999,16.48,1335700
02-05-17,16.48,16.48,15.85,16.190001,1705200
03-05-17,16.110001,16.15,15.05,15.46,4285400
04-05-17,15.23,15.38,14.32,14.61,6390700
05-05-17,14.74,15.36,14.52,14.98,2819300
08-05-17,15,15.29,14.26,14.91,7590300
09-05-17,12.66,13.42,11.78,12.8,31093500
10-05-17,12.76,12.94,12.4,12.48,6638300
11-05-17,12.38,12.4,11.02,11.06,12085100
12-05-17,11.15,11.17,10.4,10.51,8441400
15-05-17,10.64,10.82,10.15,10.69,9303800
16-05-17,10.8,10.94,10.352,10.84,6723100
17-05-17,10.7,10.72,9.88,9.9,9936500
18-05-17,9.96,9.98,9.29,9.33,9064400
19-05-17,9.35,10.145,9.24,10.06,10467900
22-05-17,9.94,10.55,9.83,10.49,7050500
23-05-17,10.49,10.519,9.79,9.81,4564800
24-05-17,9.77,9.9,9.595,9.88,3639200
25-05-17,10.07,10.1,9.51,9.56,4037300
26-05-17,9.55,9.56,9.15,9.48,5121100
30-05-17,9.42,9.77,9.4,9.42,3104000
31-05-17,10.1,10.4,9.605,10.21,10329800
01-06-17,10.17,10.25,9.68,9.91,6946500
02-06-17,9.93,10.24,9.759,10.08,4105100
05-06-17,10.12,10.12,9.59,9.6,4632100
06-06-17,9.59,9.94,9.3,9.87,5389200
07-06-17,9.95,10.22,9.2,9.26,8403400
08-06-17,9.23,9.33,9.04,9.08,4747300
09-06-17,9.17,9.25,8.75,8.81,8384800
12-06-17,8.85,9.28,8.83,8.9,6931000
13-06-17,8.92,9.82,8.65,9.61,15011000
14-06-17,9.69,10.54,9.65,10.34,13465000
15-06-17,10.19,10.4,9.5,9.55,9321700
16-06-17,9.53,9.54,9.14,9.35,5781500
19-06-17,9.36,9.715,9.205,9.45,5767300
20-06-17,9.43,9.43,9.07,9.14,4859100
21-06-17,9.2,9.22,8.52,8.7,8686900
22-06-17,8.75,9.02,8.66,8.88,5548600
23-06-17,8.89,9.6,8.815,9.54,11258400
26-06-17,9.5,11.269,9.26,10.83,32790000
27-06-17,10.57,10.94,10.405,10.63,12995000
28-06-17,10.7,11.285,10.67,11.12,9630400
29-06-17,11.2,11.79,11.17,11.42,8802900
30-06-17,11.48,12.1,11.33,11.5,7849400
03-07-17,11.53,11.76,11.3,11.33,2816200
05-07-17,11.25,11.38,10.72,11.03,5353900
06-07-17,10.9,11.486,10.853,11.17,5822300
07-07-17,11.16,11.69,11.13,11.68,4644000
10-07-17,11.75,12.07,11.265,11.86,4810600
11-07-17,11.76,12.54,11.76,12.37,9784000
12-07-17,12.46,13.1,12,13.02,9545200
13-07-17,12.97,15.34,12.97,15.07,24433500
14-07-17,14.94,15.5,14.4,15.22,10542700
17-07-17,15.2,16.209999,14.92,15.75,14625000
18-07-17,15.74,16.375,15.13,16.110001,14528900
19-07-17,16.049999,17.700001,15.84,17.530001,14764400
20-07-17,17.15,17.440001,16.26,16.68,13174300
21-07-17,16.549999,16.719999,15.46,15.8,8712300
24-07-17,15.8,16.379999,15.44,16,5930000
25-07-17,16.02,16.955999,15.93,16.41,7704000
26-07-17,16.629999,16.9,16.15,16.65,5714900
27-07-17,16.690001,17.620001,16.59,17.370001,7580000
28-07-17,17.389,17.813999,17.084999,17.34,6339900
31-07-17,16.030001,16.09,13.61,13.67,25471100
01-08-17,13.5,14.72,13.16,14.49,16350000
02-08-17,14.43,14.63,13.03,13.07,9330500
03-08-17,13.11,13.44,12.7,12.98,6674100
04-08-17,13,14.43,13,14.32,11511800
07-08-17,14.21,15.31,13.91,15.24,8757700
08-08-17,15.35,15.61,14.125,14.28,14412900
09-08-17,14.75,17.99,14.7,17.57,28838000
10-08-17,17.57,18.596001,17.07,18.4,17778400
11-08-17,18.049999,18.9,17.66,18.65,13813700
14-08-17,18.889999,19.76,18.58,19.58,11964700
15-08-17,19.440001,20.49,18.84,20.18,11397700
16-08-17,20.25,20.459999,18.549999,18.889999,11128800
17-08-17,18.77,19.629999,18.32,18.51,9213300
18-08-17,18.43,18.438999,16.879999,16.959999,12040100
21-08-17,17.049999,17.76,17.030001,17.360001,7049200
22-08-17,17.41,18.25,17.360001,18.24,5880000
23-08-17,18.110001,18.620001,17.780001,18.08,5981200
24-08-17,18.1,18.809999,17.84,18.690001,5115100
25-08-17,18.870001,19,16.625,17.219999,16865100
28-08-17,17.139999,18.610001,17.08,18.309999,8662800
29-08-17,18.040001,19,17.99,18.92,6097500
30-08-17,18.940001,20.190001,18.700001,20.129999,6501700
31-08-17,20.129999,21.85,20.129999,21.74,9719400
01-09-17,21.809999,22.91,19.809999,20.74,16252500
05-09-17,20.459999,20.790001,19.709999,20.450001,7650300
06-09-17,20.540001,21.6,20.35,21.370001,8876000
07-09-17,21.65,22.629999,21.59,22.5,8006600
08-09-17,22.299999,23.219999,21.83,23.18,7143500
11-09-17,23.32,24,22.08,23.57,10290200
12-09-17,23.51,24.219999,23.25,23.6,7717200
13-09-17,23.540001,24.129999,23.35,23.93,5099500
14-09-17,22.549999,22.919001,20.9,20.969999,13559700
15-09-17,21.040001,21.48,20.209999,20.57,11111000
18-09-17,20.5,21.57,20.389999,21.379999,7488400
19-09-17,21.58,21.93,20.98,21.74,5690400
20-09-17,21.719999,22.889999,21.719999,22.540001,5627500
