Date,Open,High,Low,Close,Volume
2/21/17,25.68,25.700001,25.32,25.57,148600
2/22/17,25.58,25.73,25.450001,25.68,141800
2/23/17,25.75,25.790001,25.57,25.59,135900
2/24/17,25.940001,26.200001,25.93,26.190001,168300
2/27/17,26.09,26.43,26.09,26.35,177400
2/28/17,26.25,26.35,26.059999,26.110001,142700
3/1/17,26,26.01,25.610001,25.82,233100
3/2/17,25.09,25.25,25,25.07,378400
3/3/17,25.950001,26.09,25.9,26.040001,337500
3/6/17,26.59,26.74,26.48,26.74,306100
3/7/17,26.93,28.17,26.799999,27.66,803800
3/8/17,27.35,27.360001,27.049999,27.26,423100
3/9/17,26.83,27.02,26.790001,26.860001,385300
3/10/17,27,27,26.77,26.85,236400
3/13/17,27.379999,27.379999,27.1,27.16,129300
3/14/17,26.959999,27.1,26.870001,27,128700
3/15/17,27.02,27.4,27.02,27.4,379500
3/16/17,27.639999,27.809999,27.639999,27.74,298900
3/17/17,28.35,29.58,28.299999,29.049999,1221500
3/20/17,29.059999,29.549999,28.99,29.41,630700
3/21/17,29.24,29.299999,29.040001,29.040001,709600
3/22/17,30.440001,30.959999,30.43,30.959999,809200
3/23/17,30.370001,30.65,30.08,30.5,586800
3/24/17,30.27,30.76,30.07,30.219999,406300
3/27/17,30.34,30.5,30.17,30.459999,197500
3/28/17,30.23,30.24,29.52,29.76,248000
3/29/17,29.75,30,29.73,29.870001,125600
3/30/17,29.42,29.42,29,29.15,174800
3/31/17,29.200001,29.27,28.92,29.02,184400
4/3/17,30.09,30.1,29.82,29.959999,174000
4/4/17,29.32,29.76,29.219999,29.299999,226100
4/5/17,29.32,29.49,29.280001,29.299999,131700
4/6/17,29.809999,29.879999,29.65,29.790001,165800
4/7/17,29.059999,29.309999,28.93,29.16,338800
4/10/17,28.940001,29.030001,28.93,29.02,153900
4/11/17,29.040001,29.120001,28.959999,29.1,96300
4/12/17,29.059999,29.25,29.059999,29.139999,76200
4/13/17,28.9,29.15,28.879999,28.99,217900
4/17/17,30.52,30.6,30.32,30.459999,424200
4/18/17,30.530001,30.65,30.530001,30.59,143300
4/19/17,31.110001,31.360001,31.1,31.35,579600
4/20/17,30.75,31.059999,30.74,30.91,831800
4/21/17,30.870001,30.969999,30.870001,30.92,235300
4/24/17,31.32,31.370001,31.07,31.1,289000
4/25/17,31.620001,31.65,31.469999,31.65,743600
4/26/17,31.049999,31.15,30.74,31.049999,270600
4/27/17,30.200001,30.280001,29.77,30,821000
4/28/17,31.43,31.690001,31.25,31.68,797000
5/1/17,31.690001,31.700001,31.610001,31.65,197600
5/2/17,31.59,31.639999,31.5,31.559999,333500
5/3/17,31.549999,31.6,31.5,31.59,186500
5/4/17,31.559999,31.68,31.549999,31.67,198400
5/5/17,31.67,32.240002,31.65,32.240002,723400
5/8/17,31.950001,32.060001,31.91,32.049999,280300
5/9/17,31.65,31.82,31.52,31.74,449800
5/10/17,32.389999,32.450001,32.220001,32.419998,514200
5/11/17,32.369999,32.419998,32.240002,32.389999,293400
5/12/17,32.439999,32.509998,32.32,32.380001,148000
5/15/17,32.830002,32.900002,32.689999,32.810001,239600
5/16/17,33.029999,33.139999,32.900002,33.029999,410600
5/17/17,33.82,33.900002,33.209999,33.439999,893800
5/18/17,34,34.07,33.740002,34.040001,705700
5/19/17,34.080002,34.189999,33.900002,34.150002,255300
5/22/17,34.23,34.360001,34.09,34.290001,225800
5/23/17,34.450001,34.849998,34.389999,34.790001,382400
5/24/17,35.330002,35.650002,35.330002,35.549999,286200
5/25/17,35.740002,36.080002,35.619999,35.950001,364500
5/26/17,37.599998,37.610001,37.299999,37.549999,584000
5/30/17,37.799999,38.389999,37.799999,38.18,611600
5/31/17,38.049999,38.09,37.75,37.830002,315700
6/1/17,37.330002,37.400002,36.919998,37.07,1127400
6/2/17,37.459999,37.84,37.459999,37.84,360600
6/5/17,38.799999,39.099998,38.75,39.09,570900
6/6/17,39.48,40.360001,39.23,40.209999,1789500
6/7/17,39.130001,39.220001,38.900002,38.91,865600
6/8/17,38.900002,39.099998,38.57,39.099998,657800
6/9/17,39.380001,39.740002,37.959999,38.43,1450700
6/12/17,38.43,38.630001,38.040001,38.630001,493600
6/13/17,38.48,39.799999,38.41,39.25,1613400
6/14/17,39.740002,39.799999,39.540001,39.630001,450600
6/15/17,40.889999,40.91,40.450001,40.549999,1045100
6/16/17,40.59,40.689999,40.450001,40.490002,327000
6/19/17,41.540001,41.619999,41.380001,41.529999,418400
6/20/17,41.700001,41.91,41.619999,41.68,334200
6/21/17,41.639999,41.75,41.439999,41.610001,370000
6/22/17,41.900002,42.099998,41.900002,42.049999,346500
6/23/17,43.02,43.25,42.860001,43.209999,558800
6/26/17,43.709999,44.330002,43.709999,44.25,706400
6/27/17,43.950001,44,43.700001,43.84,588600
6/28/17,42.23,42.880001,42.07,42.669998,785600
6/29/17,42.869999,43.09,41.349998,41.959999,1068800
6/30/17,41.959999,42,41.66,41.82,377700
7/3/17,40.880001,41.099998,40.619999,40.700001,283900
7/5/17,38.950001,39.130001,38.810001,39.130001,862000
7/6/17,38.32,38.5,38.130001,38.369999,444100
7/7/17,38.560001,39.200001,38.560001,39.049999,480900
7/10/17,39.869999,40.169998,39.799999,40.110001,410000
7/11/17,39.540001,39.57,39.25,39.450001,334700
7/12/17,39.689999,40,39.650002,39.990002,316500
7/13/17,39.91,40.009998,39.709999,39.869999,223400
7/14/17,39.799999,39.869999,39.599998,39.830002,268500
7/17/17,39.700001,39.880001,39.419998,39.419998,351600
7/18/17,40.360001,40.799999,40.360001,40.790001,537200
7/19/17,41.889999,42.119999,41.790001,41.939999,385200
7/20/17,41.66,41.82,41.470001,41.529999,244500
7/21/17,41.599998,41.709999,41.259998,41.709999,124400
7/24/17,40.599998,40.900002,40.509998,40.830002,172600
7/25/17,39.619999,39.689999,39.32,39.380001,560700
7/26/17,41.240002,42.200001,41.009998,41.740002,862000
7/27/17,42.970001,43.07,42.259998,42.349998,967900
7/28/17,42.16,42.400002,41.950001,42.389999,290500
7/31/17,42.209999,42.470001,42.209999,42.459999,467700
8/1/17,42.049999,42.150002,42,42.07,203000
8/2/17,42.77,42.889999,42.16,42.360001,474200
8/3/17,42.349998,42.380001,42.18,42.380001,173200
8/4/17,42.349998,42.5,42.299999,42.450001,204600
8/7/17,42.900002,42.950001,42.799999,42.869999,410900
8/8/17,43,43.290001,42.91,42.93,203000
8/9/17,42.57,42.68,42.139999,42.259998,333600
