Date,Open,High,Low,Close,Adj Close,Volume
21-02-2017,41.93,42.560001,41.900002,42.43,42.43,5874700
22-02-2017,42.299999,42.529999,42.119999,42.419998,42.419998,4316200
23-02-2017,42.369999,42.669998,42.16,42.529999,42.529999,5456300
24-02-2017,42.110001,43.07,41.830002,43.07,43.07,6769500
27-02-2017,42.889999,42.889999,42.349998,42.639999,42.639999,5026700
28-02-2017,42.490002,42.490002,41.990002,42,42,6956800
01-03-2017,42.310001,42.52,41.990002,42.43,42.43,6003800
02-03-2017,42.400002,42.860001,42.200001,42.77,42.77,4572300
03-03-2017,42.700001,43.040001,42.580002,43.029999,43.029999,4214400
06-03-2017,42.98,43.029999,42.630001,42.869999,42.869999,6032800
07-03-2017,42.799999,43.200001,42.709999,42.889999,42.889999,4404700
08-03-2017,42.84,43.18,42.720001,42.790001,42.790001,4573900
09-03-2017,42.66,43,42.450001,42.919998,42.919998,3487900
10-03-2017,43.189999,43.279999,42.759998,42.990002,42.990002,4636200
13-03-2017,42.869999,42.965,42.450001,42.59,42.59,5526900
14-03-2017,42.509998,42.639999,41.740002,42.099998,42.099998,5888000
15-03-2017,42.290001,42.57,41.889999,42.389999,42.389999,4291800
16-03-2017,42.5,42.580002,42.139999,42.400002,42.400002,3998600
17-03-2017,42.57,43.299999,42.369999,43.080002,43.080002,12307900
20-03-2017,43.099998,43.32,42.810001,43.16,43.16,6686900
21-03-2017,43.330002,43.400002,42.459999,42.639999,42.639999,7758400
22-03-2017,42.595001,43.240002,42.450001,43.189999,43.189999,6513300
23-03-2017,43.130001,43.610001,43,43.139999,43.139999,7176400
24-03-2017,43.48,43.494999,42.935001,43.130001,43.130001,5739500
27-03-2017,42.689999,43.200001,42.580002,43.080002,43.080002,3850300
28-03-2017,42.869999,43.25,42.84,43.150002,43.150002,4396500
29-03-2017,43.150002,43.299999,42.959999,43.240002,43.240002,3951100
30-03-2017,43.150002,43.799999,43,43.540001,43.540001,5691700
31-03-2017,43.439999,43.48,43.009998,43.02,43.02,5177500
03-04-2017,43.200001,43.299999,42.509998,42.630001,42.630001,7773000
04-04-2017,42.740002,42.740002,42.259998,42.720001,42.720001,4681800
05-04-2017,42.830002,43.342999,42.740002,42.889999,42.889999,5292300
06-04-2017,42.900002,43,42.720001,42.900002,42.900002,5395400
07-04-2017,42.889999,43.174999,42.709999,43.040001,43.040001,4861200
10-04-2017,43.07,43.549999,43.009998,43.049999,43.049999,4579500
11-04-2017,42.990002,43.09,42.610001,42.689999,42.689999,4856300
