Date,Open,High,Low,Close,Volume
2018-03-01 09:30:00,58.22,58.25,58.22,58.25,200.0
2018-03-01 09:31:00,58.3,58.35,58.28,58.29,3105.0
2018-03-01 09:32:00,58.53,58.53,58.3,58.36,283497.0
2018-03-01 09:33:00,58.61,58.65,58.5,58.53,52098.0
2018-03-01 09:34:00,58.5299,58.62,58.4375,58.61,60762.0
2018-03-01 09:35:00,58.565,58.61,58.51,58.54,38498.0
2018-03-01 09:36:00,58.4,58.595,58.4,58.57,50277.0
2018-03-01 09:37:00,58.445,58.445,58.315,58.4,63418.0
2018-03-01 09:38:00,58.51,58.52,58.44,58.445,60209.0
2018-03-01 09:39:00,58.37,58.5499,58.3699,58.5,43029.0
2018-03-01 09:40:00,58.41,58.48,58.35,58.38,29298.0
2018-03-01 09:41:00,58.3,58.4,58.29,58.4,116515.0
2018-03-01 09:42:00,58.22,58.32,58.2015,58.3,73758.0
2018-03-01 09:43:00,58.2399,58.28,58.22,58.22,57194.0
2018-03-01 09:44:00,58.17,58.2425,58.13,58.23,45871.0
2018-03-01 09:45:00,58.18,58.25,58.175,58.175,39946.0
2018-03-01 09:46:00,58.335,58.35,58.17,58.19,43077.0
2018-03-01 09:47:00,58.41,58.415,58.331,58.331,22894.0
2018-03-01 09:48:00,58.39,58.43,58.38,58.415,27862.0
2018-03-01 09:49:00,58.48,58.48,58.391,58.391,28848.0
2018-03-01 09:50:00,58.449,58.48,58.41,58.47,26751.0
2018-03-01 09:51:00,58.415,58.44,58.39,58.44,26176.0
2018-03-01 09:52:00,58.3475,58.415,58.335,58.41,25103.0
2018-03-01 09:53:00,58.385,58.4,58.3375,58.34,67835.0
2018-03-01 09:54:00,58.38,58.435,58.38,58.39,50692.0
2018-03-01 09:55:00,58.36,58.42,58.34,58.38,34650.0
2018-03-01 09:56:00,58.335,58.4,58.325,58.355,77609.0
2018-03-01 09:57:00,58.32,58.35,58.305,58.33,39175.0
2018-03-01 09:58:00,58.4,58.41,58.32,58.32,23822.0
